,Entity,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Daily tests,Cases,Deaths,Population density per km2,Gini
94,Turkey,14,0.4487063199050799,0.24303804868629444,3.960309016718425,7.907115746443213,31,8,5.233283005530542,5.738973887442766,4.120277720339368,2.0130479961152314,39.0
95,Uganda,24,-0.3010299956639812,-1.0457574905606752,2.899984562549391,7.6320821386784985,16,2,3.4143046881283317,4.291990095346181,2.294466226161593,2.2490760036836117,44.3
96,Ukraine,10,0.9444826721501687,0.47712125471966244,3.5633624094866074,7.651579966632869,41,16,4.662805035038167,5.852631848161024,4.08962255158434,1.8709303583486958,26.4
97,United Arab Emirates,29,0.07918124604762482,0.1931245983544616,4.634510521133513,6.973134552771421,34,1,5.161676391555428,5.218141468157678,2.7535830588929064,2.0509208369354033,37.85
98,United Kingdom,8,0.40483371661993806,0.45024910831936105,4.626649294446061,7.819690472044648,40,18,5.523638529920653,6.202284744903179,4.760784244778494,2.434983840181938,34.0
99,United States,11,0.4424797690644486,0.4099331233312945,4.81489655406238,8.512843330116517,38,16,6.16817060845153,7.120565771657115,5.4280570029759065,1.5200903281128424,48.0
100,Uruguay,16,0.4471580313422192,0.5728716022004802,4.20924953123108,6.538667971516221,35,15,3.6363875858131567,3.7245216271185626,1.8692317197309762,1.2990712600274095,39.7
101,Vietnam,25,0.414973347970818,-0.08618614761628333,3.433817819614313,7.980188873477908,32,7,0.0,3.126780577012009,1.5440680443502757,2.4604016522165577,35.6
102,Zambia,21,0.3010299956639812,-1.0457574905606752,3.115643789669941,7.2328470024234,17,2,3.7440581658788354,4.24474704283614,2.552668216112193,1.356217134219735,54.6
103,Zimbabwe,20,0.2304489213782739,-1.0969100130080565,3.165541076722373,7.218270331345717,19,3,2.957607287060095,3.9873980991370175,2.439332693830263,1.6263403673750423,37.85
